[2020-02-21T10:15:56-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T10:15:57-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T11:56:02-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T11:56:02-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_WORLD_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T18:35:04-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T18:35:04-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T19:03:31-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T19:03:31-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_WORLD_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T19:17:02-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T19:17:02-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T19:26:57-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T19:26:57-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_WORLD_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T19:27:38-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T19:27:38-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T22:40:45-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T22:40:45-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_WORLD_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T22:42:40-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_WORLD_LOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T22:42:40-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T22:43:02-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2020-02-21T22:43:02-0600] DFHack 0.47.03-alpha0-10-gee6b281a on Windows; cwd md5: c9a860b31d; save: region1000; SC_WORLD_UNLOADED; game type DWARF_UNRETIRE (8)
